Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,ЭКСПЕРТVIP Предприятие,ЭКСПЕРТПредприятие Проф,ЭКСПЕРТПредприятие,ЭКСПЕРТГлавный бухгалтер ПРОФ,ЭКСПЕРТГлавный бухгалтер,Unnamed: 9,ОПТИМАЛЬНЫЙVIP Предприятие,ОПТИМАЛЬНЫЙПредприятие Проф,ОПТИМАЛЬНЫЙПредприятие,ОПТИМАЛЬНЫЙГлавный бухгалтер ПРОФ,ОПТИМАЛЬНЫЙГлавный бухгалтер,Unnamed: 15,МИНИМАЛЬНЫЙVIP Предприятие,МИНИМАЛЬНЫЙПредприятие Проф,МИНИМАЛЬНЫЙПредприятие,МИНИМАЛЬНЫЙГлавный бухгалтер ПРОФ,МИНИМАЛЬНЫЙГлавный бухгалтер,Unnamed: 21,БАЗОВЫЙVIP Предприятие,БАЗОВЫЙПредприятие Проф,БАЗОВЫЙПредприятие,БАЗОВЫЙГлавный бухгалтер ПРОФ,БАЗОВЫЙГлавный бухгалтер,Unnamed: 27,ЭКСПЕРТКомплекс коммерческий VIP Предприятие,ЭКСПЕРТКомплекс коммерческий Предприятие ПРОФ,ЭКСПЕРТКомплекс коммерческий Предприятие,ЭКСПЕРТКомплекс коммерческий Главный Бухгалтер ПРОФ,Unnamed: 32,ОПТИМАЛЬНЫЙКомплекс коммерческий VIP Предприятие,ОПТИМАЛЬНЫЙКомплекс коммерческий Предприятие ПРОФ,ОПТИМАЛЬНЫЙКомплекс коммерческий Предприятие,ОПТИМАЛЬНЫЙКомплекс коммерческий Главный Бухгалтер ПРОФ,Unnamed: 37,МИНИМАЛЬНЫЙКомплекс коммерческий VIP Предприятие,МИНИМАЛЬНЫЙКомплекс коммерческий Предприятие ПРОФ,МИНИМАЛЬНЫЙКомплекс коммерческий Предприятие,Unnamed: 41,БАЗОВЫЙКомплекс коммерческий Главный Бухгалтер ПРОФ,Unnamed: 43,"ЭКСПЕРТГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","ЭКСПЕРТГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","ЭКСПЕРТГлавный Бухгалтер (ИПС ilex, podpis.by)","ЭКСПЕРТГлавный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",Unnamed: 48,"ОПТИМАЛЬНЫЙГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","ОПТИМАЛЬНЫЙГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","ОПТИМАЛЬНЫЙГлавный Бухгалтер (ИПС ilex, podpis.by)","ОПТИМАЛЬНЫЙГлавный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",Unnamed: 53,"ОПТИМАЛЬНЫЙ ПЛЮСГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","ОПТИМАЛЬНЫЙ ПЛЮСГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","ОПТИМАЛЬНЫЙ ПЛЮСГлавный Бухгалтер (ИПС ilex, podpis.by)","ОПТИМАЛЬНЫЙ ПЛЮСГлавный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",Unnamed: 58,"БАЗОВЫЙГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","БАЗОВЫЙГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","БАЗОВЫЙГлавный Бухгалтер (ИПС ilex, podpis.by)","БАЗОВЫЙГлавный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",Unnamed: 63,Unnamed: 64
,,,,ЭКСПЕРТ,,,,,,ОПТИМАЛЬНЫЙ,,,,,,МИНИМАЛЬНЫЙ,,,,,,БАЗОВЫЙ,,,,,,ЭКСПЕРТ,,,,,ОПТИМАЛЬНЫЙ,,,,,МИНИМАЛЬНЫЙ,,,,БАЗОВЫЙ,,ЭКСПЕРТ,,,,,ОПТИМАЛЬНЫЙ,,,,,ОПТИМАЛЬНЫЙ ПЛЮС,,,,,БАЗОВЫЙ,,,,,
,https://wiki.ilex.by/pages/viewpage.action?pageId=495995064,,,VIP Предприятие,Предприятие Проф,Предприятие,Главный бухгалтер ПРОФ,Главный бухгалтер,,VIP Предприятие,Предприятие Проф,Предприятие,Главный бухгалтер ПРОФ,Главный бухгалтер,,VIP Предприятие,Предприятие Проф,Предприятие,Главный бухгалтер ПРОФ,Главный бухгалтер,,VIP Предприятие,Предприятие Проф,Предприятие,Главный бухгалтер ПРОФ,Главный бухгалтер,,Комплекс коммерческий VIP Предприятие,Комплекс коммерческий Предприятие ПРОФ,Комплекс коммерческий Предприятие,Комплекс коммерческий Главный Бухгалтер ПРОФ,,Комплекс коммерческий VIP Предприятие,Комплекс коммерческий Предприятие ПРОФ,Комплекс коммерческий Предприятие,Комплекс коммерческий Главный Бухгалтер ПРОФ,,Комплекс коммерческий VIP Предприятие,Комплекс коммерческий Предприятие ПРОФ,Комплекс коммерческий Предприятие,,Комплекс коммерческий Главный Бухгалтер ПРОФ,,"Главный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","Главный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","Главный Бухгалтер (ИПС ilex, podpis.by)","Главный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",,"Главный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","Главный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","Главный Бухгалтер (ИПС ilex, podpis.by)","Главный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",,"Главный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","Главный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","Главный Бухгалтер (ИПС ilex, podpis.by)","Главный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",,"Главный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","Главный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","Главный Бухгалтер (ИПС ilex, podpis.by)","Главный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",,
ФУНКЦИОНАЛЬНОСТИ,"Функционал ""Входящие""",2.0,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +,, +, +, +, +,, +, +, +,, +,, +, +, +, +,, +, +, +, +,,,,,,, +, +, +, +,,4.0
,"Ваши мероприятия во ""Входящих""",3.0,, +, +,-,-,-,,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,, +, +,-,-,,-,-,-,-,,-,-,-,,-,,-,-,-,-,,-,-,-,-,,,,,,,-,-,-,-,,5.0
,"Обучающий раздел ""Об ilex""",4.0,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +,, +, +, +, +,, +, +, +,, +,, +, +, +, +,, +, +, +, +,,,,,,, +, +, +, +,,6.0
,Пользовательское меню,5.0,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +,, +, +, +, +,, +, +, +,, +,, +, +, +, +,, +, +, +, +,,,,,,, +, +, +, +,,7.0
,"Раздел ""Профиль""",6.0,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +,, +, +, +, +,, +, +, +,, +,, +, +, +, +,, +, +, +, +,,,,,,, +, +, +, +,,8.0
,Информеры,7.0,," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров", +,," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров", +,, +, +, +, +, +,, +, +, +, +, +,," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров",," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров",, +, +, +,, +,," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров", +, +,," +
включая кликабельность и настройку информеров"," +
включая кликабельность и настройку информеров", +, +,,,,,,, +, +, +, +,,9.0
,Производственный календарь,8.0,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +,, +, +, +, +,, +, +, +,, +,, +, +, +, +,, +, +, +, +,,,,,,, +, +, +, +,,10.0
,"Блок ""Рекомендации""",9.0,, +, +, +, +, +,, +, +, +, +, +,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, +, +,,,,,,, - , - , - , - ,,11.0
,"Блок ""Важнейшие НПА""",10.0,, +, +, +, +, - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, - , - , - , - ,, - , - , - ,, - ,, +, +, - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,12.0
,"Блок ""Мои избранные документы""",11.0,, +, +, +, +, +,, +, +, +, +, - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, - , - ,,,,,,, - , - , - , - ,,13.0
,"Блок ""Обсуждают в Сообществе ilex""",12.0,, +, +, +, +, +,, +, +, +, +, - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, - , - ,,,,,,, - , - , - , - ,,14.0
,"Блок ""Последние открытые документы""",13.0,, +, +, +, +, +,, +, +, +, +, +,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, +, +,,,,,,, - , - , - , - ,,15.0
,Перемещение блоков на главной странице,14.0,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,16.0
,"Раздел ""Новости""",15.0,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +,, +, +, +, +,, +, +, +,, +,, +, +, +, +,, +, +, +, +,,,,,,, +, +, +, +,,17.0
,"Раздел ""Новые документы в ilex""",16.0,," +
с фильтрами по профилю, тематике и ""Показать самое важное"""," +
с фильтрами по профилю, тематике и ""Показать самое важное"""," +
с фильтрами по профилю, тематике и ""Показать самое важное"""," +
с фильтром ""Показать самое важное""", +,," +
с фильтрами по профилю и тематике"," +
с фильтрами по профилю и тематике"," +
с фильтрами по профилю и тематике", +, - ,, - , - , - , - , - ,, - , - , - , - , - ,," +
с фильтрами по профилю, тематике и ""Показать самое важное"""," +
с фильтрами по профилю, тематике и ""Показать самое важное"""," +
с фильтрами по профилю, тематике и ""Показать самое важное"""," +
с фильтром ""Показать самое важное""",," +
с фильтрами по профилю и тематике"," +
с фильтрами по профилю и тематике"," +
с фильтрами по профилю и тематике", +,, - , - , - ,, - ,," +
с фильтром ""Показать самое важное"""," +
с фильтром ""Показать самое важное""", +, +,, +, +, - , - ,,,,,,, - , - , - , - ,,18.0
,Проверка контрагентов,17.0,," +
включая блок «Последние просмотренные контрагенты»"," +
включая блок «Последние просмотренные контрагенты»", +, +, - ,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,," +
включая блок «Последние просмотренные контрагенты»"," +
включая блок «Последние просмотренные контрагенты»", +, +,, +, +, +, - ,, - , - , - ,, - ,, +, +, - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,19.0
,Напоминание о статотчетности,18.0,, +, +, - , - , - ,, +, +, - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, - , - ,, +, +, - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,20.0
,Быстрый поиск,19.0,," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга",," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга",," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга",," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга",," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга",," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга",," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга",," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга",," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга",," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга",,,,,,," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга"," +
включая:
Исправление опечаток в поисковом запросе
Возможность распознавания поиском аббревиатур, сокращений, синонимов, некоторых понятий профсленга",,21.0
,Поиск в нескольких сегментах (доработка поиска),20.0,, +, +, +, +, +,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, - , - , - , - ,, - , - , - ,, - ,, +, +, +, +,, - , - , - , - ,,,,,,, - , - , - , - ,,22.0
,Тематические подсказки,21.0,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +,, +, +, +, +,, +, +, +,, +,, +, +, +, +,, +, +, +, +,,,,,,, +, +, +, +,,23.0
,Навигационные подсказки,22.0,, +, +, +, +, +,, +, +, +, +, - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, - , - ,,,,,,, - , - , - , - ,,24.0
,Последние запросы в строке поиска,23.0,, +, +, +, +, +,, +, +, +, +, +,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, +, +,,,,,,, - , - , - , - ,,25.0
,Готовые ответы в выпадающем списке,24.0,, +, +, - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, - , - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,26.0
