Изменяемые разделы:,Главный бухгалтер,Главный бухгалтер ПРОФ,Предприятие,Предприятие ПРОФ,VIP Предприятие,Комплекс коммерческий Главный Бухгалтер ПРОФ,Комплекс коммерческий Предприятие,Комплекс коммерческий Предприятие ПРОФ,Комплекс коммерческий VIP Предприятие,"Главный Бухгалтер (ИПС ilex, podpis.by)","Главный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)","Главный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","Главный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)"
Кому,БУХГАЛТЕРУ,"БУХГАЛТЕРУ, РУКОВОДИТЕЛЮ","РУКОВОДИТЕЛЮ, БУХГАЛТЕРУ, ЮРИСТУ, ЭКОНОМИСТУ, 
СПЕЦИАЛИСТУ ПО КАДРАМ И ОХРАНЕ ТРУДА, ДЕЛОПРОИЗВОДИТЕЛЮ, ЭКОЛОГУ","РУКОВОДИТЕЛЮ, БУХГАЛТЕРУ, ЮРИСТУ, ЭКОНОМИСТУ, 
СПЕЦИАЛИСТУ ПО КАДРАМ И ОХРАНЕ ТРУДА, ДЕЛОПРОИЗВОДИТЕЛЮ, ЭКОЛОГУ","РУКОВОДИТЕЛЮ, БУХГАЛТЕРУ, ЮРИСТУ, ЭКОНОМИСТУ, 
СПЕЦИАЛИСТУ ПО КАДРАМ И ОХРАНЕ ТРУДА, ДЕЛОПРОИЗВОДИТЕЛЮ, ЭКОЛОГУ","БУХГАЛТЕРУ, РУКОВОДИТЕЛЮ","РУКОВОДИТЕЛЮ, БУХГАЛТЕРУ, ЮРИСТУ, ЭКОНОМИСТУ, 
СПЕЦИАЛИСТУ ПО КАДРАМ И ОХРАНЕ ТРУДА, ДЕЛОПРОИЗВОДИТЕЛЮ, ЭКОЛОГУ","РУКОВОДИТЕЛЮ, БУХГАЛТЕРУ, ЮРИСТУ, ЭКОНОМИСТУ, 
СПЕЦИАЛИСТУ ПО КАДРАМ И ОХРАНЕ ТРУДА, ДЕЛОПРОИЗВОДИТЕЛЮ, ЭКОЛОГУ","РУКОВОДИТЕЛЮ, БУХГАЛТЕРУ, ЮРИСТУ, ЭКОНОМИСТУ, 
СПЕЦИАЛИСТУ ПО КАДРАМ И ОХРАНЕ ТРУДА, ДЕЛОПРОИЗВОДИТЕЛЮ, ЭКОЛОГУ",БУХГАЛТЕРУ,БУХГАЛТЕРУ,"БУХГАЛТЕРУ, РУКОВОДИТЕЛЮ","БУХГАЛТЕРУ, РУКОВОДИТЕЛЮ"
Наполнение ,Законодательная база,Законодательная база,Полная законодательная база,Полная законодательная база,Полная законодательная база,Законодательная база,Полная законодательная база,Полная законодательная база,Полная законодательная база,Законодательная база,Законодательная база,Законодательная база,Законодательная база
,,,,,,,,,,0,0,0,0
Формы и образцы документов,Более 5 200 форм и образцов  документов,Более 9 200 форм и образцов документов,Более 44 500 форм и образцов документов,Более 44 500 форм и образцов документов,Более 44 500 форм и образцов документов,Более 9 200 форм и образцов документов,Более 44 500 форм и образцов документов,Более 44 500 форм и образцов документов,Более 44 500 форм и образцов документов,Более 5 200 форм и образцов  документов,Более 5 200 форм и образцов  документов,Более 9 200 форм и образцов документов,Более 9 200 форм и образцов документов
Аналитика,"налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.
Дополнительно: акцизы, единый налог для с/х производителей, налог на доходы от осуществления лотерейной деятельности, налог на игорный бизнес, оффшорный сбор, отчисление части прибыли РУП, плата за использование радиочастотного спектра, отчисления в фонд универсального обслуживания (резерв универсального обслуживания), налог за добычу (изъятие) природных ресурсов, утилизационный сбор, гербовый сбор (вексель).","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.
Дополнительно: акцизы, единый налог для с/х производителей, налог на доходы от осуществления лотерейной деятельности, налог на игорный бизнес, оффшорный сбор, отчисление части прибыли РУП, плата за использование радиочастотного спектра, отчисления в фонд универсального обслуживания (резерв универсального обслуживания), налог за добычу (изъятие) природных ресурсов, утилизационный сбор, гербовый сбор (вексель).","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.
Дополнительно: акцизы, единый налог для с/х производителей, налог на доходы от осуществления лотерейной деятельности, налог на игорный бизнес, оффшорный сбор, отчисление части прибыли РУП, плата за использование радиочастотного спектра, отчисления в фонд универсального обслуживания (резерв универсального обслуживания), налог за добычу (изъятие) природных ресурсов, утилизационный сбор, гербовый сбор (вексель); ценные бумаги; юр. лица: предприятия дочерние, зависимые; представительства и филиалы (в том числе иностранные, обособленные подразделения); резиденты СЭЗ; АО; МСФО и НСФО; консолидированная отчетность; ФЭС (для финансовых и экономических служб): управленческий учет, бюджетирование, эк. анализ и управление хоз. деятельностью, эк. планирование, нормирование; страховые организации; общественные организации (политическая партия, профессиональный союз); финансируемые -собственником учреждения, благотворительные и иные фонды, ассоциации и союзы и т.п.","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.
Дополнительно: акцизы, единый налог для с/х производителей, налог на доходы от осуществления лотерейной деятельности, налог на игорный бизнес, оффшорный сбор, отчисление части прибыли РУП, плата за использование радиочастотного спектра, отчисления в фонд универсального обслуживания (резерв универсального обслуживания), налог за добычу (изъятие) природных ресурсов, утилизационный сбор, гербовый сбор (вексель); ценные бумаги; юр. лица: предприятия дочерние, зависимые; представительства и филиалы (в том числе иностранные, обособленные подразделения); резиденты СЭЗ; АО; МСФО и НСФО; консолидированная отчетность; ФЭС (для финансовых и экономических служб): управленческий учет, бюджетирование, эк. анализ и управление хоз. деятельностью, эк. планирование, нормирование; страховые организации; общественные организации (политическая партия, профессиональный союз); финансируемые -собственником учреждения, благотворительные и иные фонды, ассоциации и союзы и т.п.","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.
Дополнительно: акцизы, единый налог для с/х производителей, налог на доходы от осуществления лотерейной деятельности, налог на игорный бизнес, оффшорный сбор, отчисление части прибыли РУП, плата за использование радиочастотного спектра, отчисления в фонд универсального обслуживания (резерв универсального обслуживания), налог за добычу (изъятие) природных ресурсов, утилизационный сбор, гербовый сбор (вексель).","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.
Дополнительно: акцизы, единый налог для с/х производителей, налог на доходы от осуществления лотерейной деятельности, налог на игорный бизнес, оффшорный сбор, отчисление части прибыли РУП, плата за использование радиочастотного спектра, отчисления в фонд универсального обслуживания (резерв универсального обслуживания), налог за добычу (изъятие) природных ресурсов, утилизационный сбор, гербовый сбор (вексель).","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.
Дополнительно: акцизы, единый налог для с/х производителей, налог на доходы от осуществления лотерейной деятельности, налог на игорный бизнес, оффшорный сбор, отчисление части прибыли РУП, плата за использование радиочастотного спектра, отчисления в фонд универсального обслуживания (резерв универсального обслуживания), налог за добычу (изъятие) природных ресурсов, утилизационный сбор, гербовый сбор (вексель); ценные бумаги; юр. лица: предприятия дочерние, зависимые; представительства и филиалы (в том числе иностранные, обособленные подразделения); резиденты СЭЗ; АО; МСФО и НСФО; консолидированная отчетность; ФЭС (для финансовых и экономических служб): управленческий учет, бюджетирование, эк. анализ и управление хоз. деятельностью, эк. планирование, нормирование; страховые организации; общественные организации (политическая партия, профессиональный союз); финансируемые -собственником учреждения, благотворительные и иные фонды, ассоциации и союзы и т.п.","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.
Дополнительно: акцизы, единый налог для с/х производителей, налог на доходы от осуществления лотерейной деятельности, налог на игорный бизнес, оффшорный сбор, отчисление части прибыли РУП, плата за использование радиочастотного спектра, отчисления в фонд универсального обслуживания (резерв универсального обслуживания), налог за добычу (изъятие) природных ресурсов, утилизационный сбор, гербовый сбор (вексель); ценные бумаги; юр. лица: предприятия дочерние, зависимые; представительства и филиалы (в том числе иностранные, обособленные подразделения); резиденты СЭЗ; АО; МСФО и НСФО; консолидированная отчетность; ФЭС (для финансовых и экономических служб): управленческий учет, бюджетирование, эк. анализ и управление хоз. деятельностью, эк. планирование, нормирование; страховые организации; общественные организации (политическая партия, профессиональный союз); финансируемые -собственником учреждения, благотворительные и иные фонды, ассоциации и союзы и т.п.","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.
Дополнительно: акцизы, единый налог для с/х производителей, налог на доходы от осуществления лотерейной деятельности, налог на игорный бизнес, оффшорный сбор, отчисление части прибыли РУП, плата за использование радиочастотного спектра, отчисления в фонд универсального обслуживания (резерв универсального обслуживания), налог за добычу (изъятие) природных ресурсов, утилизационный сбор, гербовый сбор (вексель).","налогообложение;
организация и ведение бухучета и отчетности;
оплата труда и пособия;
порядок формирования цен и тарифов;
проведение наличных и безналичных расчетов;
валютное регулирование;
внешнеэкономическая деятельность;
консультации по различным видам деятельности.
Дополнительно: акцизы, единый налог для с/х производителей, налог на доходы от осуществления лотерейной деятельности, налог на игорный бизнес, оффшорный сбор, отчисление части прибыли РУП, плата за использование радиочастотного спектра, отчисления в фонд универсального обслуживания (резерв универсального обслуживания), налог за добычу (изъятие) природных ресурсов, утилизационный сбор, гербовый сбор (вексель)."
Нюансы по видам деятельности,"Нюансы по видам деятельности: оптовой, розничной торговли, общепита, производства, строительства, различных услуг и др.","Нюансы учета по видам деятельности: оптовой, розничной торговли, общепита, производства, строительства, различных услуг и др.","Нюансы учета по видам деятельности (оптовой, розничной торговли, общепита, производства, строительства, различных услуг) и т.п.","Нюансы учета по видам деятельности (оптовой, розничной торговли, общепита, производства, строительства, различных услуг) и т.п.","Нюансы учета по видам деятельности (оптовой, розничной торговли, общепита, производства, строительства, различных услуг) и т.п.","Нюансы учета по видам деятельности: оптовой, розничной торговли, общепита, производства, строительства, различных услуг и др.","Нюансы учета по видам деятельности (оптовой, розничной торговли, общепита, производства, строительства, различных услуг) и т.п.","Нюансы учета по видам деятельности (оптовой, розничной торговли, общепита, производства, строительства, различных услуг) и т.п.","Нюансы учета по видам деятельности (оптовой, розничной торговли, общепита, производства, строительства, различных услуг) и т.п.","Нюансы по видам деятельности: оптовой, розничной торговли, общепита, производства, строительства, различных услуг и др.","Нюансы по видам деятельности: оптовой, розничной торговли, общепита, производства, строительства, различных услуг и др.","Нюансы учета по видам деятельности: оптовой, розничной торговли, общепита, производства, строительства, различных услуг и др.","Нюансы учета по видам деятельности: оптовой, розничной торговли, общепита, производства, строительства, различных услуг и др."
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Минимальный,– включает базовый набор функций для поиска документов и работы с ними.,,,,,,,,,,,,
Оптимальный,"– содержит расширенный набор функций для удобного поиска и работы с документами, быструю навигацию для проработки вопросов.",,,,,,,,,,,,
Эксперт,"– содержит полный набор функциональных возможностей сервиса. Позволяет глубоко анализировать документы, оставлять личные пометки и комментарии, быстро ориентироваться в массиве информации и получать дополнительные сведения для глубокого анализа документа.",,,,,,,,,,,,
Базовый,– включает базовый набор функций для поиска документов и работы с ними.,,,,,,,,,,,,
